"sitenum","latitude","longitude","species","yearnum","cover","chla_mean","chla_n","chla_std","filter_chla_mean","filter_chla_n","filter_chla_std","sst_mean","sst_n","sst_std","filter_sst_mean","filter_sst_n","filter_sst_std","upindex_mean","upindex_n","upindex_std","filter_upindex_mean","filter_upindex_n","filter_upindex_std","speciesname"
8,45.9300003051758,-123.986666361491,471,1,0,5.24789791107178,10,1.6589156156545,5.24789791107178,10,1.6589156156545,12.6824159854796,41,0.431069418167641,12.7613656725202,35,0.235815597992588,-35.7250671386719,1,0,-35.7250671386719,1,0,"B. californicus"
10,44.8266677856445,-124.056666056315,471,1,0,4.3641511797905,8,1.33310799252035,3.87682356153216,7,0.36215145545196,12.0638677645952,39,0.578305111573568,11.8692299235951,33,0.380901100408921,-40.180534362793,2,4.45546722412109,-40.180534362793,2,4.45546722412109,"B. californicus"
11,44.8066673278809,-124.059997558594,471,1,0,4.7631959438324,10,1.43481302984547,4.42850165896946,9,1.08038370330746,12.109477752863,43,0.603966508495442,11.9250348065351,37,0.423636942205835,-40.180534362793,2,4.45546722412109,-40.180534362793,2,4.45546722412109,"B. californicus"
12,44.7466672261556,-124.059997558594,471,1,0,4.88790398836136,8,1.57974683301368,4.47539819989886,7,1.22099391729443,11.9734980492365,42,0.533631274195832,11.794393380483,36,0.320536833438454,-40.180534362793,2,4.45546722412109,-40.180534362793,2,4.45546722412109,"B. californicus"
13,44.2425012588501,-124.110000610352,471,1,0,5.63273411326938,9,2.06372068289341,6.18995088338852,8,1.41311576985372,12.1273860931396,38,0.363241781370718,12.0758941105434,35,0.226114031650582,-39.8842258453369,2,4.75177574157715,-39.8842258453369,2,4.75177574157715,"B. californicus"
14,44.218334197998,-124.110000610352,471,1,0,5.48234683817083,11,2.04363645750848,5.91308152675629,10,1.59788575187486,12.1273860931396,38,0.363241781370718,12.0758941105434,35,0.226114031650582,-39.8842258453369,2,4.75177574157715,-39.8842258453369,2,4.75177574157715,"B. californicus"
15,44.2000007629395,-124.110000610352,471,1,0,5.48234683817083,11,2.04363645750848,5.91308152675629,10,1.59788575187486,12.1484858023154,37,0.365327300418212,12.0973410886877,34,0.229598087802798,-39.8842258453369,2,4.75177574157715,-39.8842258453369,2,4.75177574157715,"B. californicus"
16,43.3300018310547,-124.374000549316,471,1,0,3.03203001618385,12,1.18748589849027,3.03203001618385,12,1.18748589849027,12.0684373378754,44,0.434034991347322,12.0990381485377,39,0.319542296168674,-35.1324501037598,1,0,-35.1324501037598,1,0,"B. californicus"
17,43.310001373291,-124.393333435059,471,1,0,4.40495428868702,14,3.53810726220089,3.03203001618385,12,1.18748589849027,12.0349796696713,38,0.418229828656282,12.0963098862592,34,0.315139330582426,-35.1324501037598,1,0,-35.1324501037598,1,0,"B. californicus"
18,43.2999992370605,-124.400001525879,471,1,0,4.40495428868702,14,3.53810726220089,3.03203001618385,12,1.18748589849027,12.0349796696713,38,0.418229828656282,12.0963098862592,34,0.315139330582426,-35.1324501037598,1,0,-35.1324501037598,1,0,"B. californicus"
19,41.060001373291,-124.150001525879,471,1,0,3.93893941549154,13,2.42273498037833,3.44369478027026,12,1.78053576691871,12.0015279906137,42,0.391414776595122,12.102593346646,38,0.211002106678605,11.0253953933716,2,4.93702030181885,11.0253953933716,2,4.93702030181885,"B. californicus"
20,40.0200004577637,-124.073333740234,471,1,0,3.09836619430118,9,1.48192238472969,3.43528696894646,8,1.20372971350306,12.1494658191999,48,0.260493884831902,12.111775116487,44,0.155475860283295,15.0970830917358,2,0.86533260345459,15.0970830917358,2,0.86533260345459,"B. californicus"
21,39.5974988937378,-123.779998779297,471,1,0,3.82318528493245,9,1.2502790295016,4.13245844841003,8,0.947495831777649,12.3862619111032,33,0.258980566528238,12.3705130259196,30,0.203357802531476,15.0970830917358,2,0.86533260345459,15.0970830917358,2,0.86533260345459,"B. californicus"
22,39.4149990081787,-123.809997558594,471,1,0,2.89198867976665,8,1.08476698445605,2.61936799117497,7,0.866167342214092,12.5046629538903,39,0.209249498180156,12.548801475101,36,0.142971134730082,28.4498748779297,2,14.2181243896484,28.4498748779297,2,14.2181243896484,"B. californicus"
23,39.3400001525879,-123.819999694824,471,1,0,2.51374076472388,9,0.806733447050667,2.51374076472388,9,0.806733447050667,12.5125272099565,41,0.210597043250657,12.5549635134245,38,0.147180471049024,28.4498748779297,2,14.2181243896484,28.4498748779297,2,14.2181243896484,"B. californicus"
24,39.272500038147,-123.7975025177,471,1,0,2.42583335439364,12,0.72034434845859,2.16874548196793,10,0.475510390567011,12.4864773533561,44,0.215753567708374,12.5270148301736,39,0.147211514635804,28.4498748779297,2,14.2181243896484,28.4498748779297,2,14.2181243896484,"B. californicus"
1,48.3891661961873,-124.650001525879,471,2,0,3.4601111014684,18,1.0431095984273,3.27499999719508,17,0.731636538454225,9.55517507482458,54,0.587049480157766,9.48245995839437,45,0.3740095553946,-57.6866073608398,2,17.3268737792969,-57.6866073608398,2,17.3268737792969,"B. californicus"
2,48.3375005722046,-124.687501907349,471,2,0,4.3845333258311,15,1.86875993425577,3.8018461557535,13,1.1719694426952,9.6737381362915,50,0.655925366396823,9.66209848537,43,0.517694781062292,-57.6866073608398,2,17.3268737792969,-57.6866073608398,2,17.3268737792969,"B. californicus"
3,48.3133341471354,-124.660003662109,471,2,0,4.158833305041,12,1.73228406222432,3.77200000936335,11,1.21570095925689,9.57509701902216,44,0.655242043792723,9.54504765690984,37,0.489886253296265,-57.6866073608398,2,17.3268737792969,-57.6866073608398,2,17.3268737792969,"B. californicus"
4,47.939998626709,-124.658336639404,471,2,0,9.5587500333786,12,2.00573075349986,8.92350010871887,10,1.55122281634877,10.6107223789866,41,1.1484438378825,10.5509267912971,36,0.553463387209624,-57.6866073608398,2,17.3268737792969,-57.6866073608398,2,17.3268737792969,"B. californicus"
5,47.8699989318848,-124.599998474121,471,2,0,11.3688125312328,16,3.18846767451673,10.5946428775787,14,2.61226897389241,10.5557873310187,39,1.2160623278098,10.4437700816563,35,0.679113393807621,-57.6866073608398,2,17.3268737792969,-57.6866073608398,2,17.3268737792969,"B. californicus"
