"sitenum","latitude","longitude","year","species","cover"
8,45.9300003051758,-123.986666361491,1999,"B. californicus",0
10,44.8266677856445,-124.056666056315,1999,"B. californicus",0
11,44.8066673278809,-124.059997558594,1999,"B. californicus",0
12,44.7466672261556,-124.059997558594,1999,"B. californicus",0
13,44.2425012588501,-124.110000610352,1999,"B. californicus",0
14,44.218334197998,-124.110000610352,1999,"B. californicus",0
15,44.2000007629395,-124.110000610352,1999,"B. californicus",0
16,43.3300018310547,-124.374000549316,1999,"B. californicus",0
17,43.310001373291,-124.393333435059,1999,"B. californicus",0
18,43.2999992370605,-124.400001525879,1999,"B. californicus",0
19,41.060001373291,-124.150001525879,1999,"B. californicus",0
20,40.0200004577637,-124.073333740234,1999,"B. californicus",0
21,39.5974988937378,-123.779998779297,1999,"B. californicus",0
22,39.4149990081787,-123.809997558594,1999,"B. californicus",0
23,39.3400001525879,-123.819999694824,1999,"B. californicus",0
24,39.272500038147,-123.7975025177,1999,"B. californicus",0
1,48.3891661961873,-124.650001525879,2000,"B. californicus",0
2,48.3375005722046,-124.687501907349,2000,"B. californicus",0
3,48.3133341471354,-124.660003662109,2000,"B. californicus",0
4,47.939998626709,-124.658336639404,2000,"B. californicus",0
5,47.8699989318848,-124.599998474121,2000,"B. californicus",0
6,47.8600006103516,-124.569999694824,2000,"B. californicus",0
9,45.7700004577637,-123.970001220703,2000,"B. californicus",0
10,44.8266677856445,-124.056666056315,2000,"B. californicus",0
11,44.8066673278809,-124.059997558594,2000,"B. californicus",0
12,44.7466672261556,-124.059997558594,2000,"B. californicus",0
13,44.2425012588501,-124.110000610352,2000,"B. californicus",0
14,44.218334197998,-124.110000610352,2000,"B. californicus",0
15,44.2000007629395,-124.110000610352,2000,"B. californicus",0
16,43.3300018310547,-124.374000549316,2000,"B. californicus",0
17,43.310001373291,-124.393333435059,2000,"B. californicus",0
18,43.2999992370605,-124.400001525879,2000,"B. californicus",0
19,41.060001373291,-124.150001525879,2000,"B. californicus",0
20,40.0200004577637,-124.073333740234,2000,"B. californicus",0
21,39.5974988937378,-123.779998779297,2000,"B. californicus",0
22,39.4149990081787,-123.809997558594,2000,"B. californicus",0
23,39.3400001525879,-123.819999694824,2000,"B. californicus",0
24,39.272500038147,-123.7975025177,2000,"B. californicus",0
25,38.3833325703939,-123.086664835612,2000,"B. californicus",0
26,38.3199996948242,-123.069999694824,2000,"B. californicus",0
27,38.310001373291,-123.069999694824,2000,"B. californicus",0
